symbol,side,start,end,bars,gross_contribution,cost,net_contribution
BTC,short,2023-09-25 12:00:00+00:00,2023-09-27 12:00:00+00:00,13,-0.0037668476531194156,0.0001686286285451096,-0.003935476281664525
BTC,short,2023-09-28 04:00:00+00:00,2023-09-28 16:00:00+00:00,4,-0.0014826545944872276,0.00014954487601038204,-0.0016321994704976096
BTC,long,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,1,-0.0005355512172816137,0.00035078960864085197,-0.0008863408259224656
BTC,long,2023-10-02 04:00:00+00:00,2023-10-11 04:00:00+00:00,55,-0.016409533303151525,0.0010426829392174645,-0.01745221624236899
BTC,long,2023-10-16 12:00:00+00:00,2023-10-31 08:00:00+00:00,90,0.09960423030420765,0.001010410519965365,0.09859381978424228
BTC,long,2023-11-01 00:00:00+00:00,2023-11-01 16:00:00+00:00,5,-0.0012083020078591546,0.00012395842236616062,-0.0013322604302253153
BTC,long,2023-11-02 04:00:00+00:00,2023-11-02 16:00:00+00:00,4,-0.0008734472024109769,3.9220461213806086e-05,-0.000912667663624783
BTC,long,2023-11-05 04:00:00+00:00,2023-11-07 12:00:00+00:00,15,-0.0016280396833561243,0.0001189525032238169,-0.0017469921865799411
BTC,long,2023-11-08 20:00:00+00:00,2023-11-10 04:00:00+00:00,9,0.0050180781669718535,0.00016954839607363526,0.004848529770898218
BTC,long,2023-11-10 20:00:00+00:00,2023-11-13 12:00:00+00:00,17,-0.0003735153281011314,0.00011173013530688511,-0.0004852454634080165
BTC,long,2023-11-16 04:00:00+00:00,2023-11-21 20:00:00+00:00,35,-0.015415873276099994,0.0007117742530687429,-0.016127647529168735
BTC,long,2023-11-23 04:00:00+00:00,2023-11-26 20:00:00+00:00,23,-8.342224562095741e-05,0.00010030296731397373,-0.00018372521293493114
BTC,long,2023-11-29 00:00:00+00:00,2023-12-06 12:00:00+00:00,46,0.05268945311774676,0.000955779764685313,0.05173367335306145
BTC,long,2023-12-20 20:00:00+00:00,2023-12-24 08:00:00+00:00,22,-0.00046442172814719794,0.00017759152304218706,-0.000642013251189385
BTC,long,2024-01-02 08:00:00+00:00,2024-01-03 16:00:00+00:00,9,-0.010794793576534456,0.00022123629380090372,-0.01101602987033536
BTC,long,2024-01-08 16:00:00+00:00,2024-01-10 12:00:00+00:00,12,0.005368261970398634,0.0006500711724686292,0.004718190797930005
BTC,long,2024-01-25 16:00:00+00:00,2024-02-03 20:00:00+00:00,56,0.0121691954961292,0.0005519159188590851,0.011617279577270115
BTC,long,2024-02-05 16:00:00+00:00,2024-02-05 16:00:00+00:00,1,-0.000559518399243841,4.444501601625357e-05,-0.0006039634152600945
BTC,long,2024-02-08 04:00:00+00:00,2024-02-16 20:00:00+00:00,53,0.04958575078695268,0.0003730779970017895,0.049212672789950895
BTC,long,2024-02-17 04:00:00+00:00,2024-02-21 12:00:00+00:00,27,-0.004785630299396171,0.0002501366473990055,-0.005035766946795177
BTC,long,2024-02-26 20:00:00+00:00,2024-02-29 04:00:00+00:00,15,0.024823071965036234,0.00027386817678503423,0.0245492037882512
BTC,long,2024-03-11 20:00:00+00:00,2024-03-12 16:00:00+00:00,6,-0.0002528504600003331,5.624725085094015e-05,-0.0003090977108512733
BTC,long,2024-03-14 12:00:00+00:00,2024-03-14 16:00:00+00:00,2,-0.0016828184428874103,9.050779998428081e-05,-0.001773326242871691
BTC,long,2024-03-25 20:00:00+00:00,2024-03-27 20:00:00+00:00,13,-0.0019310137318468508,0.00011753295651045148,-0.002048546688357302
BTC,long,2024-03-28 16:00:00+00:00,2024-03-29 16:00:00+00:00,7,-0.00383461207063407,0.00017383628322544385,-0.004008448353859514
BTC,long,2024-04-01 00:00:00+00:00,2024-04-01 08:00:00+00:00,3,-0.0014629215791594845,6.186463353326113e-05,-0.0015247862126927456
BTC,long,2024-04-08 00:00:00+00:00,2024-04-09 12:00:00+00:00,10,0.0012504985477050949,0.00018689532109476627,0.0010636032266103286
BTC,long,2024-04-12 08:00:00+00:00,2024-04-12 16:00:00+00:00,3,-0.006419416611310669,0.00030875675598285264,-0.006728173367293522
BTC,long,2024-04-22 12:00:00+00:00,2024-04-25 00:00:00+00:00,16,-0.0031715654086637425,0.00014380334025822805,-0.0033153687489219704
BTC,short,2024-04-29 12:00:00+00:00,2024-04-29 16:00:00+00:00,2,-0.0033382240486897804,0.0003650632255601854,-0.0037032872742499656
BTC,short,2024-04-30 16:00:00+00:00,2024-05-03 20:00:00+00:00,20,-0.0011220833671253506,0.00025062015536316733,-0.001372703522488518
BTC,long,2024-05-05 00:00:00+00:00,2024-05-05 04:00:00+00:00,2,-0.0003106529024374073,2.8427019078394084e-05,-0.0003390799215158014
BTC,short,2024-05-10 20:00:00+00:00,2024-05-13 08:00:00+00:00,16,-0.0034129385010504077,0.00014402916972260522,-0.003556967670773013
BTC,long,2024-05-15 20:00:00+00:00,2024-05-23 16:00:00+00:00,48,0.02773122255893657,0.0006146844815125383,0.02711653807742403
BTC,long,2024-06-04 20:00:00+00:00,2024-06-08 00:00:00+00:00,20,-0.00970745831020849,0.000558081436852827,-0.010265539747061316
BTC,short,2024-06-20 20:00:00+00:00,2024-06-20 20:00:00+00:00,1,-0.001763454077850387,0.000519894169472676,-0.0022833482473230632
BTC,short,2024-06-21 04:00:00+00:00,2024-07-01 00:00:00+00:00,60,0.02016200288999832,0.0012676076332908278,0.018894395256707493
BTC,long,2024-07-01 12:00:00+00:00,2024-07-02 00:00:00+00:00,4,-0.0001646301115257888,2.954749098029406e-05,-0.00019417760250608286
BTC,short,2024-07-02 20:00:00+00:00,2024-07-07 04:00:00+00:00,27,0.029260019398374602,0.000567815039387192,0.02869220435898741
BTC,short,2024-07-08 12:00:00+00:00,2024-07-09 12:00:00+00:00,7,-0.00018086095245822893,9.262958530008045e-06,-0.000190123910988237
BTC,long,2024-07-20 00:00:00+00:00,2024-07-23 08:00:00+00:00,21,-0.004114606526101248,0.0005359219369652704,-0.004650528463066518
BTC,short,2024-07-25 12:00:00+00:00,2024-07-26 00:00:00+00:00,4,-0.0024470344502208778,9.312280787662493e-05,-0.002540157258097503
BTC,long,2024-07-27 12:00:00+00:00,2024-07-27 12:00:00+00:00,1,0.0011221986527970896,0.0005366309795255084,0.0005855676732715812
BTC,long,2024-07-27 20:00:00+00:00,2024-07-27 20:00:00+00:00,1,-0.00690413350382476,0.0005353348131294834,-0.0074394683169542435
BTC,long,2024-07-28 20:00:00+00:00,2024-07-29 16:00:00+00:00,6,0.0009341027981898693,0.0005411579374058096,0.0003929448607840597
BTC,short,2024-07-30 04:00:00+00:00,2024-07-31 12:00:00+00:00,9,0.0016987736663993858,0.00018885068117020025,0.0015099229852291855
BTC,short,2024-08-01 00:00:00+00:00,2024-08-06 20:00:00+00:00,36,0.02132682418312069,0.0003476958373262975,0.020979128345794393
BTC,short,2024-08-14 20:00:00+00:00,2024-08-16 20:00:00+00:00,13,-0.0023814490837075096,0.00016134253770637408,-0.002542791621413884
BTC,short,2024-08-19 16:00:00+00:00,2024-08-20 08:00:00+00:00,5,-0.0011125833209335502,2.9363956702876808e-05,-0.001141947277636427
BTC,long,2024-08-24 12:00:00+00:00,2024-08-24 12:00:00+00:00,1,-0.0009269169470820625,0.00020527421496935265,-0.001132191162051415
BTC,long,2024-08-24 20:00:00+00:00,2024-08-26 08:00:00+00:00,10,-0.0021681561130782213,0.0003103716885432812,-0.0024785278016215026
BTC,long,2024-08-26 16:00:00+00:00,2024-08-26 16:00:00+00:00,1,-0.00206050235392914,0.00037210771577469645,-0.0024326100697038364
BTC,long,2024-08-27 08:00:00+00:00,2024-08-27 16:00:00+00:00,3,-0.005363305002507307,0.0004147771612829659,-0.005778082163790273
BTC,short,2024-08-29 12:00:00+00:00,2024-09-04 04:00:00+00:00,35,0.004035394091710303,0.00042126797611301417,0.0036141261155972887
BTC,short,2024-09-04 16:00:00+00:00,2024-09-04 16:00:00+00:00,1,-0.007490712792577129,0.00026640039264934053,-0.007757113185226469
BTC,short,2024-09-05 04:00:00+00:00,2024-09-06 00:00:00+00:00,6,0.006967574935145485,0.00022757368569211811,0.006740001249453367
BTC,short,2024-09-06 08:00:00+00:00,2024-09-09 20:00:00+00:00,22,-0.00406553132270553,0.0004190505428635884,-0.004484581865569118
BTC,long,2024-09-23 08:00:00+00:00,2024-09-23 08:00:00+00:00,1,-0.004451676599823153,0.00034506534841497437,-0.004796741948238127
BTC,long,2024-09-30 00:00:00+00:00,2024-09-30 12:00:00+00:00,4,-0.012515778672706951,0.00042907327508559057,-0.012944851947792541
BTC,long,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,1,-0.00022461414211560259,0.00019661719590576462,-0.0004212313380213672
BTC,short,2024-10-01 04:00:00+00:00,2024-10-02 08:00:00+00:00,8,0.003418393124171247,0.00021144365106422853,0.0032069494731070186
