profile,symbol,side,start,end,bars,gross_contribution,cost,net_contribution,profile_name,sample,holding_days,entry_weight,average_abs_weight,maximum_abs_weight,status,result
risk20,BTC,short,2025-10-30 20:00:00+00:00,2025-10-31 04:00:00+00:00,3,-0.004485004418859111,0.00030675869415548523,-0.004791763113014597,20% target-vol,historical_validation,0.5,-0.3066540134419397,0.30624388526053464,0.30675869415548523,closed,loss
risk24,BTC,short,2025-10-30 20:00:00+00:00,2025-10-31 04:00:00+00:00,3,-0.0051025602925324764,0.00034915492972471514,-0.005451715222257191,24% target-vol,historical_validation,0.5,-0.34910462849277724,0.34852337722069443,0.3491549297247151,closed,loss
risk20,BTC,short,2025-10-31 12:00:00+00:00,2025-10-31 12:00:00+00:00,1,-0.0025158933274680934,0.0003059540559526569,-0.00282184738342075,20% target-vol,historical_validation,0.16666666666666666,-0.3059540559526569,0.3059540559526569,0.3059540559526569,closed,loss
risk24,BTC,short,2025-10-31 12:00:00+00:00,2025-10-31 12:00:00+00:00,1,-0.0028621700930730226,0.0003480642598163535,-0.0032102343528893763,24% target-vol,historical_validation,0.16666666666666666,-0.3480642598163535,0.3480642598163535,0.3480642598163535,closed,loss
risk20,BTC,short,2025-11-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,1,0.0003076519670608706,0.00017497644805776933,0.00013267551900310128,20% target-vol,historical_validation,0.16666666666666666,-0.17497644805776932,0.17497644805776932,0.17497644805776932,closed,win
risk24,BTC,short,2025-11-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,1,0.0003691823604730447,0.00020997173766932318,0.00015921062280372153,24% target-vol,historical_validation,0.16666666666666666,-0.20997173766932317,0.20997173766932317,0.20997173766932317,closed,win
risk20,BTC,short,2025-11-01 08:00:00+00:00,2025-11-01 12:00:00+00:00,2,0.0001800189028080016,0.00017534842648250608,4.670476325495534e-06,20% target-vol,historical_validation,0.3333333333333333,-0.17534842648250606,0.175347350024837,0.17534842648250606,closed,win
risk24,BTC,short,2025-11-01 08:00:00+00:00,2025-11-01 12:00:00+00:00,2,0.00021602268336960189,0.00021041811177900728,5.604571590594608e-06,24% target-vol,historical_validation,0.3333333333333333,-0.21041811177900727,0.21041682002980439,0.21041811177900727,closed,win
risk20,BTC,short,2025-11-01 20:00:00+00:00,2025-11-25 00:00:00+00:00,140,0.05176653128965077,0.0017449778950046437,0.05002155339464613,20% target-vol,historical_validation,23.333333333333332,-0.17571516095652728,0.2669878831389438,0.4834735734947138,closed,win
risk24,BTC,short,2025-11-01 20:00:00+00:00,2025-11-25 00:00:00+00:00,140,0.060213163749908566,0.0020649593214070745,0.05814820442850149,24% target-vol,historical_validation,23.333333333333332,-0.2108581931478327,0.3156605907286514,0.5801682881936565,closed,win
risk20,ETH,short,2025-11-14 00:00:00+00:00,2025-11-17 12:00:00+00:00,22,-0.0016341026181615598,0.0001377763134197469,-0.0017718789315813066,20% target-vol,historical_validation,3.6666666666666665,-0.014593390236938265,0.07023907943866899,0.1363179067922578,closed,loss
risk24,ETH,short,2025-11-14 00:00:00+00:00,2025-11-17 12:00:00+00:00,22,-0.0020944322417853897,0.0001652639776831256,-0.0022596962194685152,24% target-vol,historical_validation,3.6666666666666665,-0.029362755400869783,0.0923924922604452,0.1635814881507094,closed,loss
risk20,ETH,short,2025-11-17 20:00:00+00:00,2025-11-19 04:00:00+00:00,9,-0.0029536201185024064,0.00013241990313400998,-0.003086040021636416,20% target-vol,historical_validation,1.5,-0.043908043667133356,0.08144659912133917,0.13192971263826453,closed,loss
risk24,ETH,short,2025-11-17 20:00:00+00:00,2025-11-19 04:00:00+00:00,9,-0.0035443441422028862,0.00015890388376081196,-0.0037032480259636983,24% target-vol,historical_validation,1.5,-0.052689652400560026,0.09773591894560699,0.1583156551659174,closed,loss
risk20,ETH,short,2025-11-19 12:00:00+00:00,2025-11-24 04:00:00+00:00,29,0.004497497449757293,0.0002958395026510844,0.004201657947106209,20% target-vol,historical_validation,4.833333333333333,-0.06830435448173906,0.06940344215289705,0.14975958280817334,closed,win
risk24,ETH,short,2025-11-19 12:00:00+00:00,2025-11-24 04:00:00+00:00,29,0.00539699693970875,0.00035500740318130124,0.005041989536527449,24% target-vol,historical_validation,4.833333333333333,-0.08196522537808687,0.08328413058347645,0.17971149936980801,closed,win
risk20,ETH,short,2025-11-24 16:00:00+00:00,2025-11-24 20:00:00+00:00,2,-0.0008784810301249861,2.332695593530444e-05,-0.0009018079860602906,20% target-vol,historical_validation,0.3333333333333333,-0.023326955935304438,0.017483854836418438,0.023326955935304438,closed,loss
risk24,ETH,short,2025-11-24 16:00:00+00:00,2025-11-24 20:00:00+00:00,2,-0.0010541772361499831,2.7992347122365315e-05,-0.0010821695832723484,24% target-vol,historical_validation,0.3333333333333333,-0.027992347122365317,0.02098062580370212,0.027992347122365317,closed,loss
risk20,BTC,short,2025-11-25 16:00:00+00:00,2025-11-26 20:00:00+00:00,8,-0.001465201682908034,5.735500890917988e-05,-0.0015225566918172138,20% target-vol,historical_validation,1.3333333333333333,-0.009922790444352023,0.031208897097535885,0.041215394384171745,closed,loss
risk24,BTC,short,2025-11-25 16:00:00+00:00,2025-11-26 20:00:00+00:00,8,-0.00175824201948964,6.882601069101583e-05,-0.001827068030180656,24% target-vol,historical_validation,1.3333333333333333,-0.011907348533222404,0.03745067651704305,0.04945847326100609,closed,loss
risk20,BTC,short,2025-12-09 00:00:00+00:00,2025-12-09 20:00:00+00:00,6,-0.0025700215858990953,7.070309775825898e-05,-0.0026407246836573544,20% target-vol,historical_validation,1.0,-0.06989149137782456,0.06677418921210455,0.07070309775825898,closed,loss
risk24,BTC,short,2025-12-09 00:00:00+00:00,2025-12-09 20:00:00+00:00,6,-0.0030064822637547663,8.484371730991077e-05,-0.003091325981064677,24% target-vol,historical_validation,1.0,-0.08386978965338947,0.0784823293215631,0.08484371730991076,closed,loss
risk20,BTC,short,2025-12-11 12:00:00+00:00,2025-12-12 08:00:00+00:00,6,-0.003938975471715462,0.0001813133160097038,-0.004120288787725165,20% target-vol,historical_validation,1.0,-0.09877133478218464,0.08702883907506943,0.16515609356850633,closed,loss
risk24,BTC,short,2025-12-11 12:00:00+00:00,2025-12-12 08:00:00+00:00,6,-0.004543670574108552,0.0001879441962563716,-0.004731614770364923,24% target-vol,historical_validation,1.0,-0.09877133478218464,0.09620169133339418,0.17842694109094062,closed,loss
risk20,BTC,short,2025-12-13 00:00:00+00:00,2025-12-17 16:00:00+00:00,29,0.0002988222858519536,0.00035197226469064726,-5.314997883869364e-05,20% target-vol,historical_validation,4.833333333333333,-0.06795166610769135,0.12387450584241518,0.31236994049191563,closed,loss
risk20,ETH,short,2025-12-13 00:00:00+00:00,2025-12-15 12:00:00+00:00,16,-0.0006544415906104674,4.516492960416794e-05,-0.0006996065202146353,20% target-vol,historical_validation,2.6666666666666665,-0.0006131532977116198,0.035167952587060874,0.045027872727357844,closed,loss
risk24,BTC,short,2025-12-13 00:00:00+00:00,2025-12-17 16:00:00+00:00,29,0.0003585867430223454,0.0004223667176287767,-6.377997460643129e-05,24% target-vol,historical_validation,4.833333333333333,-0.0815419993292296,0.14864940701089815,0.3748439285902987,closed,loss
risk24,ETH,short,2025-12-13 00:00:00+00:00,2025-12-15 12:00:00+00:00,16,-0.0007853299087325609,5.419791552500152e-05,-0.0008395278242575623,24% target-vol,historical_validation,2.6666666666666665,-0.0007357839572539326,0.04220154310447304,0.05403344727282942,closed,loss
risk20,ETH,short,2025-12-15 20:00:00+00:00,2025-12-19 08:00:00+00:00,22,-0.0019506149174912352,0.00021159620021871526,-0.0021622111177099505,20% target-vol,historical_validation,3.6666666666666665,-0.021260337845611845,0.09923912578885584,0.21142069622438098,closed,loss
risk24,ETH,short,2025-12-15 20:00:00+00:00,2025-12-19 08:00:00+00:00,22,-0.0023407379009894834,0.00025391544026245823,-0.002594653341251942,24% target-vol,historical_validation,3.6666666666666665,-0.02551240541473421,0.11908695094662697,0.2537048354692571,closed,loss
risk20,BTC,short,2025-12-18 04:00:00+00:00,2025-12-19 08:00:00+00:00,8,-0.0011710973935909847,8.360699619481898e-05,-0.0012547043897858036,20% target-vol,historical_validation,1.3333333333333333,-0.04117936933750218,0.0740819301796007,0.08360699619481898,closed,loss
risk24,BTC,short,2025-12-18 04:00:00+00:00,2025-12-19 08:00:00+00:00,8,-0.0014053168723091813,0.00010032839543378278,-0.001505645267742964,24% target-vol,historical_validation,1.3333333333333333,-0.04941524320500262,0.08889831621552083,0.10032839543378279,closed,loss
risk20,BTC,short,2025-12-24 08:00:00+00:00,2025-12-26 08:00:00+00:00,13,-0.00340815570201461,0.00022382788929526252,-0.0036319835913098727,20% target-vol,historical_validation,2.1666666666666665,-0.0719157633376782,0.15531642566042983,0.22367514858578605,closed,loss
risk24,BTC,short,2025-12-24 08:00:00+00:00,2025-12-26 08:00:00+00:00,13,-0.004089786842417531,0.00026859346715431493,-0.004358380309571846,24% target-vol,historical_validation,2.1666666666666665,-0.08629891600521383,0.18637971079251575,0.2684101783029432,closed,loss
risk20,BTC,short,2025-12-26 20:00:00+00:00,2025-12-29 04:00:00+00:00,15,-0.0022494497071058046,0.00011237831108786784,-0.0023618280181936725,20% target-vol,historical_validation,2.5,-0.05123355904772462,0.037301569414196704,0.0764294420589383,closed,loss
risk20,ETH,short,2025-12-26 20:00:00+00:00,2025-12-29 08:00:00+00:00,16,-0.002462371663020258,0.00014740713254005123,-0.0026097787955603096,20% target-vol,historical_validation,2.6666666666666665,-0.11630940047792333,0.1089783257283039,0.14656468261464725,closed,loss
risk24,BTC,short,2025-12-26 20:00:00+00:00,2025-12-29 04:00:00+00:00,15,-0.0028365894826322693,0.00013480156222062863,-0.0029713910448528977,24% target-vol,historical_validation,2.5,-0.0814712044798447,0.058788965012088454,0.09171533047072594,closed,loss
risk24,ETH,short,2025-12-26 20:00:00+00:00,2025-12-29 08:00:00+00:00,16,-0.0028599171050153424,0.00016330096177067394,-0.003023218066786016,24% target-vol,historical_validation,2.6666666666666665,-0.12622888086274986,0.12204937998182634,0.16245324779966003,closed,loss
risk20,BTC,short,2025-12-29 16:00:00+00:00,2025-12-30 20:00:00+00:00,8,-0.007455104342498081,0.0005252102741612881,-0.007980314616659368,20% target-vol,historical_validation,1.3333333333333333,-0.14442694442558132,0.31856566157253047,0.4941478549124961,closed,loss
risk24,BTC,short,2025-12-29 16:00:00+00:00,2025-12-30 20:00:00+00:00,8,-0.00825254321944131,0.0005698699543134593,-0.008822413173754769,24% target-vol,historical_validation,1.3333333333333333,-0.1733123333106976,0.34972149461062346,0.5529523958003071,closed,loss
risk20,BTC,short,2026-01-01 00:00:00+00:00,2026-01-02 12:00:00+00:00,10,-0.005351079232107683,0.0003424673823126098,-0.005693546614420292,20% target-vol,historical_validation,1.6666666666666667,-0.16151144812181117,0.2474692632993293,0.33742053567668107,closed,loss
risk24,BTC,short,2026-01-01 00:00:00+00:00,2026-01-02 12:00:00+00:00,10,-0.00635728413782822,0.00040511336607954517,-0.006762397503907765,24% target-vol,historical_validation,1.6666666666666667,-0.19381373774617341,0.2960078510400938,0.40490464281201727,closed,loss
risk20,ETH,short,2026-01-08 20:00:00+00:00,2026-01-13 20:00:00+00:00,31,-0.008539016434242862,0.00045191701449705696,-0.00899093344873992,20% target-vol,historical_validation,5.166666666666667,-0.08873926316397289,0.1826500221346904,0.28158150241775914,closed,loss
risk24,ETH,short,2026-01-08 20:00:00+00:00,2026-01-13 20:00:00+00:00,31,-0.010189520584301809,0.0005423004173964682,-0.010731821001698278,24% target-vol,historical_validation,5.166666666666667,-0.10648711579676745,0.21892615445824923,0.33789780290131094,closed,loss
risk20,ETH,long,2026-01-14 00:00:00+00:00,2026-01-19 16:00:00+00:00,35,-0.001685313029792626,0.00013006492992128718,-0.0018153779597139131,20% target-vol,historical_validation,5.833333333333333,0.04054097282986582,0.07880561848958374,0.1032591853568457,closed,loss
risk24,ETH,long,2026-01-14 00:00:00+00:00,2026-01-19 16:00:00+00:00,35,-0.0014532818607861007,0.00017066077830606136,-0.001623942639092162,24% target-vol,historical_validation,5.833333333333333,0.06438279315880273,0.10652922884219529,0.13852688628151172,closed,loss
risk20,BTC,long,2026-01-14 04:00:00+00:00,2026-01-14 04:00:00+00:00,1,0.0011470667429848982,0.0003313043389667967,0.0008157624040181016,20% target-vol,historical_validation,0.16666666666666666,0.3313043389667967,0.3313043389667967,0.3313043389667967,closed,win
risk24,BTC,long,2026-01-14 04:00:00+00:00,2026-01-14 04:00:00+00:00,1,0.0013121628917023903,0.0003789886352392873,0.000933174256463103,24% target-vol,historical_validation,0.16666666666666666,0.3789886352392873,0.3789886352392873,0.3789886352392873,closed,win
risk20,BTC,long,2026-01-14 20:00:00+00:00,2026-01-16 04:00:00+00:00,9,-0.0049466905579102615,0.0003377751137240448,-0.005284465671634307,20% target-vol,historical_validation,1.5,0.33135187601691823,0.33342227667221036,0.33680625093157096,closed,loss
risk24,BTC,long,2026-01-14 20:00:00+00:00,2026-01-16 04:00:00+00:00,9,-0.005655912728593738,0.0003863755127096883,-0.006042288241303427,24% target-vol,historical_validation,1.5,0.3790036389629883,0.38119231140317894,0.38497101828309405,closed,loss
risk20,BTC,long,2026-01-16 12:00:00+00:00,2026-01-16 12:00:00+00:00,1,-0.0008074666702930519,0.00033403334325697793,-0.0011415000135500297,20% target-vol,historical_validation,0.16666666666666666,0.3340333432569779,0.3340333432569779,0.3340333432569779,closed,loss
risk24,BTC,long,2026-01-16 12:00:00+00:00,2026-01-16 12:00:00+00:00,1,-0.0009227847928463408,0.0003817382200423107,-0.0013045230128886517,24% target-vol,historical_validation,0.16666666666666666,0.3817382200423107,0.3817382200423107,0.3817382200423107,closed,loss
risk20,BTC,long,2026-01-16 20:00:00+00:00,2026-01-20 04:00:00+00:00,21,-0.002220581154125059,0.0004058285466842964,-0.0026264097008093555,20% target-vol,historical_validation,3.5,0.3864520180844162,0.24211521614595424,0.3887007749167964,closed,loss
risk24,BTC,long,2026-01-16 20:00:00+00:00,2026-01-20 04:00:00+00:00,21,-0.002754000504848241,0.00046791362555956577,-0.0032219141304078067,24% target-vol,historical_validation,3.5,0.44463431647549445,0.27966026144041667,0.44736606117010563,closed,loss
risk20,BTC,short,2026-01-21 04:00:00+00:00,2026-01-21 04:00:00+00:00,1,-0.001254838545055402,0.00012562566261713738,-0.0013804642076725394,20% target-vol,historical_validation,0.16666666666666666,-0.12562566261713737,0.12562566261713737,0.12562566261713737,closed,loss
risk20,ETH,short,2026-01-21 04:00:00+00:00,2026-01-21 20:00:00+00:00,5,-0.005927690910733645,0.00018515449840460232,-0.006112845409138247,20% target-vol,historical_validation,0.8333333333333334,-0.18515449840460232,0.16110188938102604,0.18515449840460232,closed,loss
