shift_days,cagr,max_dd,sharpe,calmar,multiple
239,-0.15592892741534448,-0.36718390185858574,-1.0482290984482,-0.42466166579219394,0.6545950805140345
240,-0.1603589234409425,-0.37799020379703285,-1.0166988634611382,-0.424240950770908,0.6460411321185834
241,-0.11173882226535248,-0.27040882170569636,-0.6161601923142913,-0.41322180822549187,0.7436512533051663
242,-0.13572605029572926,-0.3393384779898224,-0.7940394224966583,-0.399972473206531,0.6944647994558434
243,-0.03521834786607836,-0.2807797879945093,-0.1357135663187739,-0.12543049525618652,0.9142772596603875
244,-0.015321081590755514,-0.21213717350929495,-0.013679487276755983,-0.0722225215755701,0.9621413830050467
245,0.010804371125492152,-0.18596522863817921,0.1476883152055713,0.05809887797096485,1.0272264205863542
246,0.1413698292373251,-0.11934600566259723,0.8659055662125964,1.184537584248872,1.3917022124239484
247,0.20873669689755436,-0.0958086146324727,1.2388492313550563,2.1786840118530075,1.6062054379575617
248,0.08768950147675825,-0.1840404338374677,0.5691033945655217,0.4764686740208393,1.233814439594336
249,0.04689101550616637,-0.18677601711523517,0.350285326084393,0.25105479938163594,1.121364674626609
250,0.08054097980570085,-0.15271716758612408,0.5396815983362023,0.5273865478174231,1.2136447808001372
251,-0.017576542321470878,-0.3015013082105813,-0.024316964628539394,-0.05829673650767272,0.956642001985633
252,0.009772011698008676,-0.19531136312907682,0.14019114379347591,0.050032991124794805,1.024605958448387
253,-0.03298859907182006,-0.1631109273410002,-0.13061943914436844,-0.20224640745775416,0.9195682580165992
254,0.04441090589870056,-0.13395283587157847,0.3446191221864676,0.33154136386688826,1.1147360262751635
255,0.021771535686375243,-0.14402817844344007,0.2145470949157689,0.15116164018504846,1.0553130262751202
256,-0.04059413548254509,-0.2684109444025691,-0.18457010568414361,-0.1512387491236611,0.9015962183297935
257,-0.10915588319831893,-0.3282744756255309,-0.6825323724410248,-0.33251407374978237,0.7490683889200078
258,-0.19960243121331533,-0.45021651509389704,-1.3553712812525953,-0.4433476439034812,0.5731885334066229
259,-0.10882073881039378,-0.26491873781326136,-0.6386145535864653,-0.41077025999988137,0.7497730085856281
260,-0.098968803609358,-0.2606367609334027,-0.5827901983081392,-0.37971928155846857,0.7706639764000034
261,-0.0488467483426952,-0.2461007728859611,-0.25332524698497266,-0.19848271002923648,0.8823353632399941
262,-0.07173788035731543,-0.2871065902038573,-0.39521417872128317,-0.24986497281855713,0.830209377603598
263,-0.15946286093106476,-0.35912345572375914,-1.0775256935482953,-0.4440335444246921,0.6477659085331955
264,-0.23579337579909065,-0.5010956893142561,-1.6372479323116305,-0.47055558614318016,0.5105837204873347
265,-0.19944124474976277,-0.465621417624685,-1.3066967723909277,-0.4283334855324949,0.5734771135399813
266,-0.10492066714860748,-0.2798845864976528,-0.6201599056275978,-0.3748711869472218,0.758001906992374
267,-0.05763937325905677,-0.2505806205247407,-0.320361234651973,-0.2300232681136881,0.862088108507397
268,0.020451886269459374,-0.2924833475426849,0.20993409792294768,0.06992495963030727,1.0519093681919909
269,0.03136171876905336,-0.27213503934918115,0.27485738546349886,0.11524322205643132,1.080246652794516
270,-0.019399662315111033,-0.2140942653592468,-0.04760260946765051,-0.09061271343517167,0.9522105915124756
271,-0.06486919177026662,-0.2393893453774496,-0.359827290858049,-0.270977773334006,0.8456504444362268
272,0.0005003434188672884,-0.14952796929123258,0.08158577965293097,0.003346152704667444,1.00125115657586
273,0.055938146007578515,-0.14321389895437753,0.4239272500800301,0.39059160050798053,1.1457453624194578
274,0.03592892545676163,-0.17198486009655367,0.3113541643766164,0.20890749009297008,1.0922439627859086
275,-0.0007528853415621484,-0.23062803444556945,0.06776806755352593,-0.0032645005338231632,0.9981191066040122
276,0.06351855787926475,-0.1497456378788311,0.4775034445070487,0.4241763485001261,1.1664161611273753
277,-0.027091356047439952,-0.28671679429941177,-0.09234362838351057,-0.09448820782764845,0.9336502912557421
278,-0.02051274269163139,-0.2699339824408138,-0.05481568799673958,-0.07599170177148426,0.9495111226684031
279,-0.07981467114466823,-0.307033044685906,-0.40138786604720206,-0.25995466131770417,0.8122703952476411
