date_utc,risk20_return,risk20_equity_growth_of_1,risk20_drawdown,risk20_btc_end_position,risk20_eth_end_position,risk20_mean_gross_exposure,risk24_return,risk24_equity_growth_of_1,risk24_drawdown,risk24_btc_end_position,risk24_eth_end_position,risk24_mean_gross_exposure,benchmark_return,benchmark_equity_growth_of_1
2023-11-08 00:00:00+00:00,0.0008384984123939176,1.5642008242962442,-0.0029128190414373645,0.04201459979589842,0.22666168122694585,0.23873148082170811,0.0010052745172430821,1.6734250247613836,-0.0035030593725460246,0.05041751975507808,0.271994017472335,0.2864777769860497,0.003428882569856073,0.9904024125750719
2023-11-09 00:00:00+00:00,0.016467152663876217,1.5899587580668915,0.0,0.09394769424515544,0.30170973590550215,0.36995598096808785,0.019502317775150102,1.7060606913671685,0.0,0.1325589940956934,0.34854011075477614,0.4449988752733189,0.0390048509846046,1.0290329110923555
2023-11-10 00:00:00+00:00,0.012655946276843189,1.6100811906913823,0.0,0.048807502883947806,0.3770165216973595,0.37954378373015,0.014938900698249657,1.7315473626206899,0.0,0.058569003460737366,0.45241982603683134,0.4465987243927823,0.02967942017216707,1.0595740112316538
2023-11-11 00:00:00+00:00,-0.0034471824073116775,1.6045309471364875,-0.0034471824073117885,0.04972965860418646,0.2505960073479125,0.34300652878562893,-0.004139126034511942,1.724380269852076,-0.004139126034511942,0.05967559032502375,0.30071520881749486,0.41160783454275457,-0.004320944460855292,1.0549956507769562
2023-11-12 00:00:00+00:00,-0.0031299602307520713,1.5995088290829393,-0.0065663530942207116,0.05000293433491842,0.07321676769006956,0.16606565636668613,-0.0037556952116190034,1.7179040231295823,-0.0078792759503028,0.06000352120190208,0.08786012122808345,0.19927878764002335,-0.006762719488259683,1.0478610111294178
2023-11-13 00:00:00+00:00,0.0003248456261029098,1.60002842252998,-0.006243640519200011,0.0,0.0,0.06269170252496055,-1.5438901815545414e-05,1.7178775005780407,-0.00789459320475061,0.0,0.0,0.07358657441241542,0.007958035960862642,1.0561999267379716
2023-11-14 00:00:00+00:00,0.0,1.60002842252998,-0.006243640519200011,0.0,0.0,0.0,0.0,1.7178775005780407,-0.00789459320475061,0.0,0.0,0.0,-0.05091336181830808,1.0024252377154907
2023-11-15 00:00:00+00:00,0.0,1.60002842252998,-0.006243640519200011,0.0,0.0,0.0,0.0,1.7178775005780407,-0.00789459320475061,0.0,0.0,0.0,0.052284755450672016,1.0548367961270269
2023-11-16 00:00:00+00:00,-0.017294254079422977,1.572357124456448,-0.02342991549310336,0.2517958642715487,0.0,0.285608573082682,-0.020073441271616588,1.6833937874583558,-0.027809562823308376,0.28437477871703437,0.0,0.3299962879703529,-0.04193828814934586,1.0105987466205189
2023-11-17 00:00:00+00:00,0.0023404001012494735,1.5760370692297263,-0.02114435076844612,0.24380381713751498,0.0,0.23934210528562008,0.0023779685524096816,1.6873968449462535,-0.02549772453674881,0.2441949461700873,0.0,0.24119034593167984,-0.0011169781027440262,1.0094699299498833
2023-11-18 00:00:00+00:00,0.0025156658218137284,1.580001851818699,-0.01868187706718516,0.24984681086863328,0.0,0.2471880345140305,0.002495360876708874,1.6916075090166145,-0.023065989684294075,0.24638498928858085,0.0,0.2452793647213238,0.011939454181534304,1.0215224499261566
2023-11-19 00:00:00+00:00,0.0019883840212109316,1.583143502254339,-0.016730639791820767,0.2516648361039797,0.0,0.25180696987670576,0.001944231484029224,1.694896385594265,-0.021166603823619234,0.24620730045846692,0.0,0.2465920401511211,0.009179452251540932,1.0308994664791309
2023-11-20 00:00:00+00:00,0.001771241736332918,1.5859476321001362,-0.014989032062962537,0.08150588483492995,0.0,0.101998471517925,0.0018924676489027181,1.6981039221722443,-0.019314193287689907,0.09780706180191591,0.0,0.10715875964592332,0.020298047977882927,1.0518247133100982
2023-11-21 00:00:00+00:00,-0.0038266341409847193,1.579878790745328,-0.01875830866211481,0.08159544123268124,0.0,0.18770409458620285,-0.004590772165281254,1.690308313952581,-0.023816298392031143,0.09791452947921749,0.0,0.22524491350344342,-0.02013977329531802,1.0306412020376199
2023-11-22 00:00:00+00:00,0.009788309730085043,1.5953431336851356,-0.009153611067227008,0.0,0.4044399014118382,0.08919897975753815,0.010970033978305871,1.7088510535904538,-0.013107530016323254,0.0,0.45095948418037013,0.10056988221554397,0.026299999518982542,1.0577470651554528
2023-11-23 00:00:00+00:00,-0.0031419304087613176,1.5903306765810017,-0.012266781467026311,0.054055338251567366,0.2563864678471531,0.32009944257138806,-0.00371376551917757,1.7025047814702192,-0.01677261724248469,0.09046093037038534,0.2889145270426212,0.38654627504475664,-0.003715792798495543,1.0538166962281184
2023-11-24 00:00:00+00:00,0.0036670075098079735,1.5961624311151021,-0.008644756336979142,0.05501770742337566,0.2677834759652973,0.3127516279060581,0.004499393483574421,1.7101650203897205,-0.012348690363633619,0.09442658197127429,0.2997455042215802,0.3825534160850954,0.012470679954190711,1.0669585069771619
2023-11-25 00:00:00+00:00,-0.0008088133704002853,1.5948714335994856,-0.009446577712870274,0.05879845172540782,0.2757550434969881,0.3315242080333439,-0.0008733787101582458,1.7086713986700548,-0.013211283990529954,0.09850249862605855,0.30885040875195496,0.4039410884688656,-0.0006740030233480798,1.0662393737176723
2023-11-26 00:00:00+00:00,-0.004906594382758311,1.5870460463821647,-0.014306821570486239,0.045471178026017224,0.3789702125823937,0.3505650122863706,-0.006020477146571945,1.6983843815633606,-0.019152222903760063,0.05456541363122067,0.4547642550988724,0.4255126779311816,-0.012672918766091779,1.0527270087493397
2023-11-27 00:00:00+00:00,-0.002188954117670283,1.5835720754040041,-0.01646445871216906,0.0,0.0,0.11924679088579493,-0.0026265421687863277,1.6939235033663764,-0.021728460951463635,0.0,0.0,0.1430961490629539,-0.020555147879688707,1.0310880494075547
