scenario,lookback,entry_z,exit_z,target_vol,max_gross,fee,lag_bars,offset_hours,side,include_funding,use_trend_filter,trend_horizon_days,trend_required,turnover,active_share,mean_active_gross,realised_full_vol,dev_cagr,dev_max_dd,dev_sharpe,dev_calmar,dev_multiple,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_multiple,full_cagr,full_max_dd,full_sharpe,full_calmar,full_multiple
fee_5bp,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
fee_8bp,180,1.0,0.25,0.24,1.0,0.0008,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.15193843396686613,0.25018600741931607,-0.09810126129242924,1.6196409566614005,2.55028329017645,1.7485131337525601,0.33920283424518427,-0.09454380313372579,1.9127242194944314,3.5877849526045074,2.0752598727992355,0.2939047932667418,-0.09810126129242924,1.7715461665224548,2.995932869717581,3.6286191435391295
fee_10bp,180,1.0,0.25,0.24,1.0,0.001,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.15197314573017154,0.2375572063631044,-0.1012216876524249,1.5493148585012317,2.346900272783719,1.7046489675112237,0.32009824425714206,-0.09720145867095664,1.8216673943433166,3.2931423934771256,2.00204741311361,0.2781390225519622,-0.1012216876524249,1.6904586304793492,2.7478204424632415,3.412788055672631
fee_15bp,180,1.0,0.25,0.24,1.0,0.0015,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.15208596063432459,0.20653813690076328,-0.10897656908454945,1.3732627647714126,1.8952527009775901,1.5997347397294428,0.2735170224150547,-0.1038120066321716,1.594152357863616,2.634733989722255,1.8301047569640043,0.2395569443079124,-0.10897656908454945,1.4876692119423862,2.198242671064935,2.927682157059427
fee_20bp,180,1.0,0.25,0.24,1.0,0.002,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.1522358719252983,0.17629324882691244,-0.11666590984446912,1.1969671900723238,1.51109479248852,1.50126700483233,0.22857448845859984,-0.1103748408185865,1.3669583851181635,2.070893029275465,1.6729121533007485,0.20213538296885458,-0.11666590984446912,1.2848988869325235,1.732600236335768,2.511487817733424
lag_4h,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
lag_8h,180,1.0,0.25,0.24,1.0,0.0005,2,0,both,True,True,"30,60,120",2,306.6399460948651,0.58556174135256,0.3181299314264614,0.15100779653380011,0.22582652408892034,-0.099722351649433,1.4722409304718127,2.2645527342034395,1.6645022168894825,0.30775931317359473,-0.09825425073662675,1.7930240664160335,3.1322747959124144,1.955598404848355,0.26610792740180034,-0.099722351649433,1.6376442289995572,2.6684882877339704,3.2550978802156325
lag_12h,180,1.0,0.25,0.24,1.0,0.0005,3,0,both,True,True,"30,60,120",2,306.5992791715839,0.5854704754951173,0.3181015161417837,0.14841289398779653,0.20510572602897525,-0.10973860988193618,1.3815500383189034,1.8690388574234822,1.5949863857154318,0.2559275497476923,-0.10643125919536323,1.553178272780213,2.4046276599801986,1.7675739769110315,0.23024032709273978,-0.10973860988193618,1.4699487235603985,2.0980794939943843,2.819256428917971
lag_24h,180,1.0,0.25,0.24,1.0,0.0005,6,0,both,True,True,"30,60,120",2,306.4947763042512,0.5851966779227891,0.3180098690590059,0.14880312015551378,0.16326284838201466,-0.14330272348904904,1.1357421118489763,1.1392864308994863,1.4599970703484213,0.1977296468248384,-0.11469325083093584,1.2380924865654368,1.7239867681168333,1.5698934666783126,0.1803610183121791,-0.14330272348904904,1.1882967748638762,1.2586014691197547,2.2920398621094553
lag_48h,180,1.0,0.25,0.24,1.0,0.0005,12,0,both,True,True,"30,60,120",2,306.42108343682503,0.5846490827781327,0.31780610488884203,0.15162103756951242,0.1399237170533545,-0.18301929652322346,0.9603237461388133,0.7645298594817812,1.3877963047324573,0.08325932694463645,-0.21518304601313198,0.5914424529339369,0.3869232659693616,1.2212911388135368,0.11124590440331117,-0.2151830460131322,0.7711515580824775,0.5169826641292272,1.694903329447922
side_both,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
side_long,180,1.0,0.25,0.24,1.0,0.0005,1,0,long,True,True,"30,60,120",2,166.8736764634151,0.36369444190928174,0.31311023585985526,0.11058998374120622,0.23456941982949564,-0.07250603738001993,1.9731410126860391,3.2351708672212527,1.694369107849488,0.1437301687592012,-0.10154664468672459,1.261292133415758,1.4154103190963567,1.3989074466583467,0.18830692990380427,-0.10154664468672514,1.6150769339642448,1.854388497864578,2.370265562358503
side_short,180,1.0,0.25,0.24,1.0,0.0005,1,0,short,True,True,"30,60,120",2,170.55915472087614,0.37701925709592043,0.28092798615621706,0.12052866501406813,0.0664416042645617,-0.08251054455150697,0.6446835235410258,0.8052498577692178,1.174653089939017,0.16332849100956603,-0.11521862586389664,1.2186540872682983,1.4175528460346312,1.4595985587285376,0.11380557328405505,-0.11877021817784228,0.9540407803027197,0.95819958092227,1.7145219570810157
funding_on,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
funding_off,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,False,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.15200080307358324,0.27577098901401986,-0.09467520314451205,1.758261671286913,2.912811167598801,1.8394381791476448,0.37337539527358365,-0.09123581759750543,2.0714389121893992,4.092421212475576,2.2101716327078216,0.3236471541540824,-0.09467520314451205,1.9204896754677798,3.418499706412755,4.065474083671851
boundary_0h,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
boundary_1h,180,1.0,0.25,0.24,1.0,0.0005,1,1,both,True,True,"30,60,120",2,305.60691424351575,0.5838276900611481,0.3143892355427777,0.14648999528950393,0.22332040260441177,-0.09769913540509145,1.52115838204938,2.2857971227529794,1.6559997256690433,0.3485173061879627,-0.08825863234568354,2.0206237016954582,3.948818341337097,2.111528122028436,0.2843600572826197,-0.09769913540509145,1.7814349620093766,2.910568820323467,3.496689990821565
boundary_2h,180,1.0,0.25,0.24,1.0,0.0005,1,2,both,True,True,"30,60,120",2,310.04272049122005,0.579446928903897,0.3139628825056172,0.15229694859437604,0.23855653118620102,-0.11044216272169782,1.4696733948661183,2.1600132169390545,1.708095605873312,0.23260725330639231,-0.11691423156715397,1.458476212771206,1.9895546520594956,1.6866723071952692,0.2355799397033007,-0.11691423156715386,1.464479422496973,2.01498086713239,2.8809975564684427
boundary_3h,180,1.0,0.25,0.24,1.0,0.0005,1,3,both,True,True,"30,60,120",2,307.4887107861212,0.5782604727571415,0.3100195281033841,0.15030515486829762,0.2429031934306829,-0.10261797030021269,1.541023911670389,2.367062929816879,1.7231357605009292,0.2828355729758618,-0.09318415393490287,1.7093043506147751,3.0352325050184685,1.863762059040535,0.2627006109324881,-0.10261797030021269,1.6265799416377034,2.5599864250281668,3.211515052997583
